puzzle,solution,pretty_puzzle
049731002500008074706040030980060300157300040364015207200953086695004020430200901,849731562523698174716542839982467315157329648364815297271953486695184723438276951,"  4 9 | 7 3 1 |     2
5     |     8 |   7 4
7   6 |   4   |   3  
- - - + - - - + - - -
9 8   |   6   | 3    
1 5 7 | 3     |   4  
3 6 4 |   1 5 | 2   7
- - - + - - - + - - -
2     | 9 5 3 |   8 6
6 9 5 |     4 |   2  
4 3   | 2     | 9   1"
602309000090080325008702000260400700105003608000065410004196280080524109020807060,652349871497681325318752946269418753145273698873965412534196287786524139921837564,"6   2 | 3   9 |      
  9   |   8   | 3 2 5
    8 | 7   2 |      
- - - + - - - + - - -
2 6   | 4     | 7    
1   5 |     3 | 6   8
      |   6 5 | 4 1  
- - - + - - - + - - -
    4 | 1 9 6 | 2 8  
  8   | 5 2 4 | 1   9
  2   | 8   7 |   6  "
025040100074563982306812054000080600050406218640201507980000020062300090013029870,825947163174563982396812754231785649759436218648291537987154326562378491413629875,"  2 5 |   4   | 1    
  7 4 | 5 6 3 | 9 8 2
3   6 | 8 1 2 |   5 4
- - - + - - - + - - -
      |   8   | 6    
  5   | 4   6 | 2 1 8
6 4   | 2   1 | 5   7
- - - + - - - + - - -
9 8   |       |   2  
  6 2 | 3     |   9  
  1 3 |   2 9 | 8 7  "
000510007402860150051749800300005080046301005895674300004036070030127006760058001,983512467472863159651749823317295684246381795895674312124936578538127946769458231,"      | 5 1   |     7
4   2 | 8 6   | 1 5  
  5 1 | 7 4 9 | 8    
- - - + - - - + - - -
3     |     5 |   8  
  4 6 | 3   1 |     5
8 9 5 | 6 7 4 | 3    
- - - + - - - + - - -
    4 |   3 6 |   7  
  3   | 1 2 7 |     6
7 6   |   5 8 |     1"
710800032000023018083090547806007090070649005901385000020000309097502860504008700,719854632465723918283196547856217493372649185941385276628471359197532864534968721,"7 1   | 8     |   3 2
      |   2 3 |   1 8
  8 3 |   9   | 5 4 7
- - - + - - - + - - -
8   6 |     7 |   9  
  7   | 6 4 9 |     5
9   1 | 3 8 5 |      
- - - + - - - + - - -
  2   |       | 3   9
  9 7 | 5   2 | 8 6  
5   4 |     8 | 7    "
002504916950060020008923040007000230020030870813005069685340792040056003730802650,372584916954167328168923547497618235526439871813275469685341792249756183731892654,"    2 | 5   4 | 9 1 6
9 5   |   6   |   2  
    8 | 9 2 3 |   4  
- - - + - - - + - - -
    7 |       | 2 3  
  2   |   3   | 8 7  
8 1 3 |     5 |   6 9
- - - + - - - + - - -
6 8 5 | 3 4   | 7 9 2
  4   |   5 6 |     3
7 3   | 8   2 | 6 5  "
701394658043258100905010004062037849174985060839062000308079406490023500006840000,721394658643258197985716234562137849174985362839462715318579426497623581256841973,"7   1 | 3 9 4 | 6 5 8
  4 3 | 2 5 8 | 1    
9   5 |   1   |     4
- - - + - - - + - - -
  6 2 |   3 7 | 8 4 9
1 7 4 | 9 8 5 |   6  
8 3 9 |   6 2 |      
- - - + - - - + - - -
3   8 |   7 9 | 4   6
4 9   |   2 3 | 5    
    6 | 8 4   |      "
700083020084006009003900047947235608068140073301078900402801360050300000000020701,795483126284716539613952847947235618568149273321678954472891365159367482836524791,"7     |   8 3 |   2  
  8 4 |     6 |     9
    3 | 9     |   4 7
- - - + - - - + - - -
9 4 7 | 2 3 5 | 6   8
  6 8 | 1 4   |   7 3
3   1 |   7 8 | 9    
- - - + - - - + - - -
4   2 | 8   1 | 3 6  
  5   | 3     |      
      |   2   | 7   1"
852100003000020850900050004090513487584090030731040069678430010305001728020700300,852174693467329851913856274296513487584697132731248569678432915345961728129785346,"8 5 2 | 1     |     3
      |   2   | 8 5  
9     |   5   |     4
- - - + - - - + - - -
  9   | 5 1 3 | 4 8 7
5 8 4 |   9   |   3  
7 3 1 |   4   |   6 9
- - - + - - - + - - -
6 7 8 | 4 3   |   1  
3   5 |     1 | 7 2 8
  2   | 7     | 3    "
942105800306470120817609043209304001034500000600017934020940060460000002590760008,942135876356478129817629543279384651134596287685217934728941365461853792593762418,"9 4 2 | 1   5 | 8    
3   6 | 4 7   | 1 2  
8 1 7 | 6   9 |   4 3
- - - + - - - + - - -
2   9 | 3   4 |     1
  3 4 | 5     |      
6     |   1 7 | 9 3 4
- - - + - - - + - - -
  2   | 9 4   |   6  
4 6   |       |     2
5 9   | 7 6   |     8"
934105070620749300705006004000090436056003091000018527060937100103260009490800260,934185672628749315715326984871592436256473891349618527562937148183264759497851263,"9 3 4 | 1   5 |   7  
6 2   | 7 4 9 | 3    
7   5 |     6 |     4
- - - + - - - + - - -
      |   9   | 4 3 6
  5 6 |     3 |   9 1
      |   1 8 | 5 2 7
- - - + - - - + - - -
  6   | 9 3 7 | 1    
1   3 | 2 6   |     9
4 9   | 8     | 2 6  "
234600080100080623865230094051042830789000046423968570576800012918024067342106958,234619785197485623865237194651742839789351246423968571576893412918524367342176958,"2 3 4 | 6     |   8  
1     |   8   | 6 2 3
8 6 5 | 2 3   |   9 4
- - - + - - - + - - -
  5 1 |   4 2 | 8 3  
7 8 9 |       |   4 6
4 2 3 | 9 6 8 | 5 7  
- - - + - - - + - - -
5 7 6 | 8     |   1 2
9 1 8 |   2 4 |   6 7
3 4 2 | 1   6 | 9 5 8"
000070000000501946041000805408067050907004628063002400730625004250010009080749030,695478213872531946341296875428967351917354628563182497739625184254813769186749532,"      |   7   |      
      | 5   1 | 9 4 6
  4 1 |       | 8   5
- - - + - - - + - - -
4   8 |   6 7 |   5  
9   7 |     4 | 6 2 8
  6 3 |     2 | 4    
- - - + - - - + - - -
7 3   | 6 2 5 |     4
2 5   |   1   |     9
  8   | 7 4 9 |   3  "
709010000142605930685300702090500007561827094000009060020036500050700009008452670,739218456142675938685394712894563127561827394273149865427936581356781249918452673,"7   9 |   1   |      
1 4 2 | 6   5 | 9 3  
6 8 5 | 3     | 7   2
- - - + - - - + - - -
  9   | 5     |     7
5 6 1 | 8 2 7 |   9 4
      |     9 |   6  
- - - + - - - + - - -
  2   |   3 6 | 5    
  5   | 7     |     9
    8 | 4 5 2 | 6 7  "
058020090769800204003009081526040173071030400084702659090160342030280910412397800,158423796769851234243679581526948173971536428384712659897165342635284917412397865,"  5 8 |   2   |   9  
7 6 9 | 8     | 2   4
    3 |     9 |   8 1
- - - + - - - + - - -
5 2 6 |   4   | 1 7 3
  7 1 |   3   | 4    
  8 4 | 7   2 | 6 5 9
- - - + - - - + - - -
  9   | 1 6   | 3 4 2
  3   | 2 8   | 9 1  
4 1 2 | 3 9 7 | 8    "
600200470400076528007410600080154962164000705950760034040500000270640050591837006,635289471419376528827415693783154962164923785952768134346592817278641359591837246,"6     | 2     | 4 7  
4     |   7 6 | 5 2 8
    7 | 4 1   | 6    
- - - + - - - + - - -
  8   | 1 5 4 | 9 6 2
1 6 4 |       | 7   5
9 5   | 7 6   |   3 4
- - - + - - - + - - -
  4   | 5     |      
2 7   | 6 4   |   5  
5 9 1 | 8 3 7 |     6"
900072003082300014030010800390705082426098005508603091157084906069001247043967158,914872563682359714735416829391745682426198375578623491157284936869531247243967158,"9     |   7 2 |     3
  8 2 | 3     |   1 4
  3   |   1   | 8    
- - - + - - - + - - -
3 9   | 7   5 |   8 2
4 2 6 |   9 8 |     5
5   8 | 6   3 |   9 1
- - - + - - - + - - -
1 5 7 |   8 4 | 9   6
  6 9 |     1 | 2 4 7
  4 3 | 9 6 7 | 1 5 8"
024003060187406030003082001006207000830900000791800020670149002008025009040378010,924513867187496235563782941456237198832961754791854623675149382318625479249378516,"  2 4 |     3 |   6  
1 8 7 | 4   6 |   3  
    3 |   8 2 |     1
- - - + - - - + - - -
    6 | 2   7 |      
8 3   | 9     |      
7 9 1 | 8     |   2  
- - - + - - - + - - -
6 7   | 1 4 9 |     2
    8 |   2 5 |     9
  4   | 3 7 8 |   1  "
701930040200005930003142078100603082020497000546010090007081000830560710410020000,781936245264875931953142678179653482328497156546218397697381524832564719415729863,"7   1 | 9 3   |   4  
2     |     5 | 9 3  
    3 | 1 4 2 |   7 8
- - - + - - - + - - -
1     | 6   3 |   8 2
  2   | 4 9 7 |      
5 4 6 |   1   |   9  
- - - + - - - + - - -
    7 |   8 1 |      
8 3   | 5 6   | 7 1  
4 1   |   2   |      "
148950020600024710070031850091008035086290070420000006019300547800049300360570108,148957623635824719972631854791468235586293471423715986219386547857149362364572198,"1 4 8 | 9 5   |   2  
6     |   2 4 | 7 1  
  7   |   3 1 | 8 5  
- - - + - - - + - - -
  9 1 |     8 |   3 5
  8 6 | 2 9   |   7  
4 2   |       |     6
- - - + - - - + - - -
  1 9 | 3     | 5 4 7
8     |   4 9 | 3    
3 6   | 5 7   | 1   8"
610000058070520060549100003724905006905206417108703502251037649386091705490652030,612374958873529164549168273724915386935286417168743592251837649386491725497652831,"6 1   |       |   5 8
  7   | 5 2   |   6  
5 4 9 | 1     |     3
- - - + - - - + - - -
7 2 4 | 9   5 |     6
9   5 | 2   6 | 4 1 7
1   8 | 7   3 | 5   2
- - - + - - - + - - -
2 5 1 |   3 7 | 6 4 9
3 8 6 |   9 1 | 7   5
4 9   | 6 5 2 |   3  "
000259010879031245200004360000360080000097456096428701010003020003810574420070103,634259817879631245251784369147365982382197456596428731715943628963812574428576193,"      | 2 5 9 |   1  
8 7 9 |   3 1 | 2 4 5
2     |     4 | 3 6  
- - - + - - - + - - -
      | 3 6   |   8  
      |   9 7 | 4 5 6
  9 6 | 4 2 8 | 7   1
- - - + - - - + - - -
  1   |     3 |   2  
    3 | 8 1   | 5 7 4
4 2   |   7   | 1   3"
040026781026010409017050002093200004000530916150600008030070090270000803065003027,549326781326718459817459362693281574782534916154697238438172695271965843965843127,"  4   |   2 6 | 7 8 1
  2 6 |   1   | 4   9
  1 7 |   5   |     2
- - - + - - - + - - -
  9 3 | 2     |     4
      | 5 3   | 9 1 6
1 5   | 6     |     8
- - - + - - - + - - -
  3   |   7   |   9  
2 7   |       | 8   3
  6 5 |     3 |   2 7"
060351708700080001000976002015690003306840205274510000628000094500100027007420806,962351748753284961481976532815692473396847215274513689628735194549168327137429856,"  6   | 3 5 1 | 7   8
7     |   8   |     1
      | 9 7 6 |     2
- - - + - - - + - - -
  1 5 | 6 9   |     3
3   6 | 8 4   | 2   5
2 7 4 | 5 1   |      
- - - + - - - + - - -
6 2 8 |       |   9 4
5     | 1     |   2 7
    7 | 4 2   | 8   6"
010508000203406001050010730789321546061000283300860109802094000036752090045000000,417538962293476851658219734789321546561947283324865179872694315136752498945183627,"  1   | 5   8 |      
2   3 | 4   6 |     1
  5   |   1   | 7 3  
- - - + - - - + - - -
7 8 9 | 3 2 1 | 5 4 6
  6 1 |       | 2 8 3
3     | 8 6   | 1   9
- - - + - - - + - - -
8   2 |   9 4 |      
  3 6 | 7 5 2 |   9  
  4 5 |       |      "
072600000950104000000059042783490125500080070126503490030840000817965230094307586,472638951958124367361759842783496125549281673126573498635842719817965234294317586,"  7 2 | 6     |      
9 5   | 1   4 |      
      |   5 9 |   4 2
- - - + - - - + - - -
7 8 3 | 4 9   | 1 2 5
5     |   8   |   7  
1 2 6 | 5   3 | 4 9  
- - - + - - - + - - -
  3   | 8 4   |      
8 1 7 | 9 6 5 | 2 3  
  9 4 | 3   7 | 5 8 6"
039700800000900015005004607700340900903500046000602038108403569300150480054860170,639715824427986315815234697762348951983571246541692738178423569396157482254869173,"  3 9 | 7     | 8    
      | 9     |   1 5
    5 |     4 | 6   7
- - - + - - - + - - -
7     | 3 4   | 9    
9   3 | 5     |   4 6
      | 6   2 |   3 8
- - - + - - - + - - -
1   8 | 4   3 | 5 6 9
3     | 1 5   | 4 8  
  5 4 | 8 6   | 1 7  "
305000000000568410064371000920005807580127390000080025040052600600704000792010540,315249786279568413864371952921435867586127394437986125143852679658794231792613548,"3   5 |       |      
      | 5 6 8 | 4 1  
  6 4 | 3 7 1 |      
- - - + - - - + - - -
9 2   |     5 | 8   7
5 8   | 1 2 7 | 3 9  
      |   8   |   2 5
- - - + - - - + - - -
  4   |   5 2 | 6    
6     | 7   4 |      
7 9 2 |   1   | 5 4  "
